trial,rho,alpha,iterations,final_objective,r_norm,eps_pri,s_norm,eps_dual,primal_satisfied,dual_satisfied,objective_close,valid,elapsed_seconds,status,error_message
1,0.1,1,103,17.2283074280128,0.0812508905672107,0.0819896151448265,0.00013685738240725,0.0593408554524188,1,1,1,1,1.02460129166667,success,
2,0.1,1.2,86,17.2305759965858,0.0808390366295,0.081991625735,0.000373626212826044,0.0593563558311148,1,1,1,1,0.66520725,success,
3,0.1,1.5,69,17.2340916430693,0.0804136991354756,0.0819966156573564,0.000807421230229264,0.0593791989588447,1,1,1,1,0.673885,success,
4,0.1,1.8,58,17.2459409206921,0.0818627904759992,0.082015801106444,0.00338465487370826,0.0594239298088718,1,1,1,1,0.572886,success,
5,0.3,1,35,17.2336165633489,0.0803666293009855,0.0820125443664365,0.00173523041447936,0.0593810619196633,1,1,1,1,0.32434025,success,
6,0.3,1.2,29,17.2343725165928,0.0818620324574535,0.0820216319976869,0.00331056313264649,0.0593787659912864,1,1,1,1,0.288368791666667,success,
7,0.3,1.5,24,17.249580943399,0.0811334230331351,0.0820736359191197,0.0099237557133761,0.0595289114905067,1,1,1,1,0.307142375,success,
8,0.3,1.8,25,17.3813343888926,0.0750768509242381,0.0822686568636441,0.0258770752909821,0.0602549629124201,1,1,0,0,0.304579666666667,success,
9,1,1,15,17.2693553575176,0.0649905372514796,0.0818532325451118,0.0531550738297721,0.0601837113356401,1,1,1,1,0.2200685,success,
10,1,1.2,13,17.2696302235344,0.0663563196732726,0.0816377518204638,0.0595892671241419,0.0604795757824572,1,1,1,1,0.252437916666667,success,
11,1,1.5,12,17.4375073753352,0.052734884635842,0.0821587100243855,0.0587902258846673,0.0610437305609388,1,1,0,0,0.196230291666667,success,
12,1,1.8,13,17.4271774478456,0.0485436733152502,0.0822160637168496,0.0423972123685503,0.0610958533625581,1,1,0,0,0.195446958333333,success,
13,3,1,18,17.5063856746252,0.0189728223199177,0.0820495545639403,0.059740615983381,0.061913595689143,1,1,0,0,0.231574291666667,success,
14,3,1.2,16,17.4874782150022,0.012862469410455,0.0821407198574728,0.0456982617924688,0.0616059181520607,1,1,0,0,0.224445583333333,success,
15,3,1.5,13,17.4824946493139,0.0121969576973687,0.0821722699863582,0.0471311491387655,0.0614867203821907,1,1,0,0,0.189415916666667,success,
16,3,1.8,11,17.4779433123239,0.0707591834192088,0.0821933996363575,0.047828430844252,0.0614285290190326,1,1,0,0,0.179758041666667,success,
17,10,1,61,17.4599420165781,0.000984656847204998,0.0816883197417436,0.0599839813092695,0.0619004850579365,1,1,0,0,0.583437041666667,success,
18,10,1.2,53,17.4599303807383,0.00126292362495484,0.0817959011595768,0.05892841139359,0.0617684726246848,1,1,0,0,0.498924125,success,
19,10,1.5,44,17.4603813930641,0.0021412306993536,0.0818796313473205,0.0611611521104712,0.0616666310708772,1,1,0,0,0.421442041666667,success,
20,10,1.8,38,17.4604640163648,0.00281139648299597,0.0819464981268609,0.0609050056067511,0.0615858525131398,1,1,0,0,0.371481708333333,success,
