Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    5.1637	    0.0587	    0.0000	    0.0122	      0.05
  2	    4.9650	    0.0567	    0.0000	    0.0172	      0.21
  3	    4.7795	    0.0549	    0.0000	    0.0220	      0.44
  4	    4.5427	    0.0531	    0.0368	    0.0265	      0.88
  5	    4.1230	    0.0520	    0.1379	    0.0305	      2.05
  6	    3.5472	    0.0572	    0.1958	    0.0337	      3.78
  7	    3.1490	    0.0691	    0.1960	    0.0362	      5.78
  8	    2.9592	    0.0798	    0.1647	    0.0381	      7.56
  9	    2.8095	    0.0857	    0.1238	    0.0397	      8.87
 10	    2.5687	    0.0862	    0.1084	    0.0411	      9.86
 11	    2.2041	    0.0835	    0.1247	    0.0424	     10.84
 12	    1.8630	    0.0806	    0.1320	    0.0434	     11.70
 13	    1.7116	    0.0793	    0.1146	    0.0443	     12.38
 14	    1.6422	    0.0791	    0.0874	    0.0450	     12.92
 15	    1.5183	    0.0791	    0.0719	    0.0457	     13.42
 16	    1.3375	    0.0792	    0.0705	    0.0463	     13.85
 17	    1.1913	    0.0796	    0.0688	    0.0469	     14.19
 18	    1.0840	    0.0801	    0.0629	    0.0473	     14.50
 19	    0.9890	    0.0805	    0.0559	    0.0477	     14.78
 20	    0.9195	    0.0807	    0.0474	    0.0481	     14.99
 21	    0.8640	    0.0807	    0.0394	    0.0485	     15.12
 22	    0.8150	    0.0804	    0.0323	    0.0488	     15.19
 23	    0.7743	    0.0802	    0.0263	    0.0492	     15.20
 24	    0.7372	    0.0799	    0.0218	    0.0496	     15.21
 25	    0.6950	    0.0798	    0.0209	    0.0500	     15.25
 26	    0.6480	    0.0797	    0.0227	    0.0503	     15.35
 27	    0.6100	    0.0799	    0.0221	    0.0506	     15.47
 28	    0.5865	    0.0801	    0.0192	    0.0509	     15.60
 29	    0.5662	    0.0804	    0.0155	    0.0512	     15.71
 30	    0.5480	    0.0806	    0.0119	    0.0515	     15.80
 31	    0.5268	    0.0808	    0.0106	    0.0518	     15.87
 32	    0.4984	    0.0809	    0.0119	    0.0520	     15.94
 33	    0.4713	    0.0809	    0.0137	    0.0522	     16.01
 34	    0.4505	    0.0809	    0.0133	    0.0525	     16.07
 35	    0.4349	    0.0809	    0.0111	    0.0527	     16.13
 36	    0.4216	    0.0808	    0.0088	    0.0529	     16.18
 37	    0.4075	    0.0808	    0.0071	    0.0531	     16.21
